"uid","plotID","completeDate","subplotID","nestedSubplotID","nestedSubplotArea","variablesOther","percentCoverOther","cameraID","photoID","taxonID","identificationQualifier","percentCoverPlantSpecies","meanHeightPlantSpecies","measuredBy","recordedBy","remarks"
100,"CPER_006",20140528,40,3,1,,,,,"VUOC",,6.00,11,"D10KJB24","D10JEB28",
101,"CPER_006",20140528,40,3,1,,,,,"CRMI5",,13.00,9,"D10KJB24","D10JEB28",
102,"CPER_006",20140528,40,3,1,,,,,"CADU6","cf. species",1.00,15,"D10KJB24","D10JEB28",
103,"CPER_006",20140528,40,3,1,,,,,"OEAL",,1.00,11,"D10KJB24","D10JEB28",
104,"CPER_006",20140528,40,3,1,,,,,"EREF",,0.50,4,"D10KJB24","D10JEB28","percent cover trace"
105,"CPER_006",20140528,40,3,1,,,,,"BOGR2",,1.00,9,"D10KJB24","D10JEB28",
106,"CPER_006",20140528,41,1,1,"Soil",50.00,,,,,,,"D10KJB24","D10JEB28",
107,"CPER_006",20140528,41,1,1,"Rock",0.00,,,,,,,"D10KJB24","D10JEB28",
108,"CPER_006",20140528,41,1,1,"Wood",0.50,,,,,,,"D10KJB24","D10JEB28","percent cover trace"
109,"CPER_006",20140528,41,1,1,"Litter",1.00,,,,,,,"D10KJB24","D10JEB28",
110,"CPER_006",20140528,41,1,1,"Standing Dead",4.00,,,,,,,"D10KJB24","D10JEB28",
111,"CPER_006",20140528,41,1,1,"Water",0.00,,,,,,,"D10KJB24","D10JEB28",
112,"CPER_006",20140528,41,1,1,"Lichen",0.50,,,,,,,"D10KJB24","D10JEB28","percent cover trace"
113,"CPER_006",20140528,41,1,1,"Moss",0.00,,,,,,,"D10KJB24","D10JEB28",
114,"CPER_006",20140528,41,1,1,"Other non-vascular",0.00,,,,,,,"D10KJB24","D10JEB28",
115,"CPER_006",20140528,41,1,1,"Scat",0.00,,,,,,,"D10KJB24","D10JEB28",
116,"CPER_006",20140528,41,1,1,"Overstory",0.00,,,,,,,"D10KJB24","D10JEB28",
117,"CPER_006",20140528,41,1,1,,,"CAN-D","3099",,,,,"D10KJB24","D10JEB28",
118,"CPER_006",20140528,41,1,1,,,,,"THFI",,3.00,7,"D10KJB24","D10JEB28",
119,"CPER_006",20140528,41,1,1,,,,,"VUOC",,23.00,11,"D10KJB24","D10JEB28",
120,"CPER_006",20140528,41,1,1,,,,,"OPPO",,1.00,8,"D10KJB24","D10JEB28",
121,"CPER_006",20140528,41,1,1,,,,,"OEAL",,0.50,8,"D10KJB24","D10JEB28","percent cover trace"
122,"CPER_006",20140528,41,1,1,,,,,"LEMO",,0.50,10,"D10KJB24","D10JEB28","percent cover trace"
123,"CPER_006",20140528,41,1,1,,,,,"PLPA2",,0.50,4,"D10KJB24","D10JEB28","percent cover trace"
124,"CPER_006",20140528,41,1,1,,,,,"SPCO",,2.00,7,"D10KJB24","D10JEB28",
125,"CPER_006",20140528,41,1,1,,,,,"BOGR2",,1.00,7,"D10KJB24","D10JEB28",
126,"CPER_006",20140528,41,1,1,,,,,"CRMI5",,0.50,8,"D10KJB24","D10JEB28","percent cover trace"
127,"CPER_006",20140528,41,1,1,,,,,"CADU6",,0.50,7,"D10KJB24","D10JEB28","percent cover trace"
128,"CPER_006",20140528,41,1,1,,,,,"SPCR",,0.50,5,"D10KJB24","D10JEB28","percent cover trace"
129,"CPER_006",20140528,41,4,1,"Soil",50.00,,,,,,,"D10KJB24","D10JEB28",
130,"CPER_006",20140528,41,4,1,"Rock",0.00,,,,,,,"D10KJB24","D10JEB28",
131,"CPER_006",20140528,41,4,1,"Wood",0.50,,,,,,,"D10KJB24","D10JEB28","percent cover trace"
132,"CPER_006",20140528,41,4,1,"Litter",1.00,,,,,,,"D10KJB24","D10JEB28",
133,"CPER_006",20140528,41,4,1,"Standing Dead",4.00,,,,,,,"D10KJB24","D10JEB28",
134,"CPER_006",20140528,41,4,1,"Water",0.00,,,,,,,"D10KJB24","D10JEB28",
135,"CPER_006",20140528,41,4,1,"Lichen",0.50,,,,,,,"D10KJB24","D10JEB28","percent cover trace"
136,"CPER_006",20140528,41,4,1,"Moss",0.00,,,,,,,"D10KJB24","D10JEB28",
137,"CPER_006",20140528,41,4,1,"Other non-vascular",0.00,,,,,,,"D10KJB24","D10JEB28",
138,"CPER_006",20140528,41,4,1,"Scat",0.00,,,,,,,"D10KJB24","D10JEB28",
139,"CPER_006",20140528,41,4,1,"Overstory",0.00,,,,,,,"D10KJB24","D10JEB28",
140,"CPER_006",20140528,41,4,1,,,"CAN-D","3100",,,,,"D10KJB24","D10JEB28",
141,"CPER_006",20140528,41,4,1,,,,,"THFI",,34.00,15,"D10KJB24","D10JEB28",
142,"CPER_006",20140528,41,4,1,,,,,"VUOC",,9.00,9,"D10KJB24","D10JEB28",
143,"CPER_006",20140528,41,4,1,,,,,"BOGR2",,1.00,5,"D10KJB24","D10JEB28",
144,"CPER_006",20140528,41,4,1,,,,,"CADU6",,1.00,7,"D10KJB24","D10JEB28",
145,"CPER_006",20140528,41,4,1,,,,,"ELEL5",,0.50,11,"D10KJB24","D10JEB28","percent cover trace"
146,"CPER_006",20140528,41,4,1,,,,,"SPCO",,0.50,5,"D10KJB24","D10JEB28","percent cover trace"
147,"CPER_006",20140527,31,1,1,"Soil",55.00,,,,,,,"D10KJB24","D10DPB11",
148,"CPER_006",20140527,31,1,1,"Rock",0.00,,,,,,,"D10KJB24","D10DPB11",
149,"CPER_006",20140527,31,1,1,"Wood",0.50,,,,,,,"D10KJB24","D10DPB11",
150,"CPER_006",20140527,31,1,1,"Litter",3.00,,,,,,,"D10KJB24","D10DPB11",
151,"CPER_006",20140527,31,1,1,"Standing Dead",13.00,,,,,,,"D10KJB24","D10DPB11",
152,"CPER_006",20140527,31,1,1,"Water",0.00,,,,,,,"D10KJB24","D10DPB11",
153,"CPER_006",20140527,31,1,1,"Lichen",1.00,,,,,,,"D10KJB24","D10DPB11",
154,"CPER_006",20140527,31,1,1,"Moss",0.00,,,,,,,"D10KJB24","D10DPB11",
155,"CPER_006",20140527,31,1,1,"Other non-vascular",0.00,,,,,,,"D10KJB24","D10DPB11",
156,"CPER_006",20140527,31,1,1,"Scat",0.50,,,,,,,"D10KJB24","D10DPB11",
157,"CPER_006",20140527,31,1,1,"Overstory",0.00,,,,,,,"D10KJB24","D10DPB11",
158,"CPER_006",20140527,31,1,1,,,"CAN-D","3086",,,,,"D10KJB24","D10DPB11",
159,"CPER_006",20140527,31,1,1,,,,,"VUOC",,11.00,12,"D10KJB24","D10DPB11",
160,"CPER_006",20140527,31,1,1,,,,,"BOGR2",,5.00,8,"D10KJB24","D10DPB11",
161,"CPER_006",20140527,31,1,1,,,,,"THFI",,9.00,10,"D10KJB24","D10DPB11",
162,"CPER_006",20140527,31,1,1,,,,,"OEAL",,2.00,7,"D10KJB24","D10DPB11",
163,"CPER_006",20140527,31,1,1,,,,,"SPCO",,0.50,4,"D10KJB24","D10DPB11","percent cover trace"
164,"CPER_006",20140527,31,1,1,,,,,"CADU6",,1.00,14,"D10KJB24","D10DPB11","percent cover trace"
165,"CPER_006",20140527,31,1,1,,,,,"PIOP",,0.50,2,"D10KJB24","D10DPB11","percent cover trace"
166,"CPER_006",20140527,31,1,1,,,,,"PLPA2",,0.50,5,"D10KJB24","D10DPB11",
167,"CPER_009",20140528,32,2,1,"Soil",60.00,,,,,,,"D10DPB11","D10JEB28",
168,"CPER_009",20140528,32,2,1,"Rock",0.50,,,,,,,"D10DPB11","D10JEB28","percent cover trace"
169,"CPER_009",20140528,32,2,1,"Wood",0.50,,,,,,,"D10DPB11","D10JEB28","percent cover trace"
170,"CPER_009",20140528,32,2,1,"Litter",4.00,,,,,,,"D10DPB11","D10JEB28",
171,"CPER_009",20140528,32,2,1,"Standing Dead",9.00,,,,,,,"D10DPB11","D10JEB28",
172,"CPER_009",20140528,32,2,1,"Water",0.00,,,,,,,"D10DPB11","D10JEB28",
173,"CPER_009",20140528,32,2,1,"Lichen",0.50,,,,,,,"D10DPB11","D10JEB28","percent cover trace"
174,"CPER_009",20140528,32,2,1,"Moss",0.00,,,,,,,"D10DPB11","D10JEB28",
175,"CPER_009",20140528,32,2,1,"Other non-vascular",0.00,,,,,,,"D10DPB11","D10JEB28",
176,"CPER_009",20140528,32,2,1,"Scat",0.00,,,,,,,"D10DPB11","D10JEB28",
177,"CPER_009",20140528,32,2,1,"Overstory",0.00,,,,,,,"D10DPB11","D10JEB28",
178,"CPER_009",20140528,32,2,1,,,,,"HECO26",,3.00,35,"D10DPB11","D10JEB28",
179,"CPER_009",20140528,32,2,1,,,,,"BOGR2",,10.00,7,"D10DPB11","D10JEB28",
180,"CPER_009",20140528,32,2,1,,,,,"ARFR4",,4.00,5,"D10DPB11","D10JEB28",
181,"CPER_009",20140528,32,2,1,,,,,"ECVI2",,1.00,3,"D10DPB11","D10JEB28",
182,"CPER_009",20140528,32,2,1,,,,,"BODA2",,1.00,4,"D10DPB11","D10JEB28",
183,"CPER_009",20140528,32,2,1,,,,,"SPCO",,1.00,4,"D10DPB11","D10JEB28",
184,"CPER_009",20140528,32,2,1,,,,,"PASM",,3.00,21,"D10DPB11","D10JEB28",
185,"CPER_009",20140528,32,2,1,,,,,"THFI",,0.50,7,"D10DPB11","D10JEB28","percent cover trace"
186,"CPER_009",20140528,32,2,1,,,,,"VUOC",,0.50,12,"D10DPB11","D10JEB28","percent cover trace"
187,"CPER_009",20140528,32,2,1,,,,,"ELEL5",,1.00,13,"D10DPB11","D10JEB28",
188,"CPER_009",20140528,32,2,1,,,,,"ARPU9",,0.50,11,"D10DPB11","D10JEB28","percent cover trace"
189,"CPER_009",20140528,32,2,1,,,,,"Astrangle-us",,0.50,11,"D10DPB11","D10JEB28","unk. Photo 3107, percent cover trace"
190,"CPER_009",20140528,32,4,1,"Soil",62.00,,,,,,,"D10DPB11","D10JEB28",
191,"CPER_009",20140528,32,4,1,"Rock",1.00,,,,,,,"D10DPB11","D10JEB28",
192,"CPER_009",20140528,32,4,1,"Wood",0.00,,,,,,,"D10DPB11","D10JEB28",
193,"CPER_009",20140528,32,4,1,"Litter",4.00,,,,,,,"D10DPB11","D10JEB28",
194,"CPER_009",20140528,32,4,1,"Standing Dead",10.00,,,,,,,"D10DPB11","D10JEB28",
195,"CPER_009",20140528,32,4,1,"Water",0.00,,,,,,,"D10DPB11","D10JEB28",
196,"CPER_009",20140528,32,4,1,"Lichen",0.00,,,,,,,"D10DPB11","D10JEB28",
197,"CPER_009",20140528,32,4,1,"Moss",0.00,,,,,,,"D10DPB11","D10JEB28",
198,"CPER_009",20140528,32,4,1,"Other non-vascular",0.00,,,,,,,"D10DPB11","D10JEB28",
199,"CPER_009",20140528,32,4,1,"Scat",0.00,,,,,,,"D10DPB11","D10JEB28",
200,"CPER_009",20140528,32,4,1,"Overstory",0.00,,,,,,,"D10DPB11","D10JEB28",
201,"CPER_009",20140528,32,4,1,,,"CAN-D","3108",,,,,"D10DPB11","D10JEB28",
202,"CPER_009",20140528,32,4,1,,,,,"SPCO",,0.50,5,"D10DPB11","D10JEB28","percent cover trace"
203,"CPER_009",20140528,32,4,1,,,,,"PSTE5",,1.00,13,"D10DPB11","D10JEB28",
204,"CPER_009",20140528,32,4,1,,,,,"BODA2",,10.00,6,"D10DPB11","D10JEB28",
205,"CPER_009",20140528,32,4,1,,,,,"PASM",,5.00,19,"D10DPB11","D10JEB28",
206,"CPER_009",20140528,32,4,1,,,,,"OPPO",,0.50,8,"D10DPB11","D10JEB28","percent cover trace"
207,"CPER_009",20140528,32,4,1,,,,,"BOGR2",,7.00,8,"D10DPB11","D10JEB28",
208,"CPER_009",20140528,32,4,1,,,,,"VUOC",,0.50,12,"D10DPB11","D10JEB28","percent cover trace"
209,"CPER_009",20140528,32,4,1,,,,,"THFI",,0.50,7,"D10DPB11","D10JEB28","percent cover trace"
210,"CPER_009",20140528,32,4,1,,,,,"CADU6",,0.50,11,"D10DPB11","D10JEB28","percent cover trace"
211,"CPER_009",20140528,40,1,1,"Soil",20.00,,,,,,,"D10KJB24","D10LJZ07",
212,"CPER_009",20140528,40,1,1,"Rock",0.50,,,,,,,"D10KJB24","D10LJZ07","percent cover trace"
213,"CPER_009",20140528,40,1,1,"Wood",0.50,,,,,,,"D10KJB24","D10LJZ07","percent cover trace"
214,"CPER_009",20140528,32,2,1,,,"CAN-D","3105",,,,,"D10DPB11","D10JEB28",
215,"CPER_009",20140528,32,2,1,,,,,"PSTE5",,2.00,19,"D10DPB11","D10JEB28",
216,"CPER_009",20140528,40,1,1,"Standing Dead",28.00,,,,,,,"D10KJB24","D10LJZ07",
217,"CPER_009",20140528,40,1,1,"Water",0.00,,,,,,,"D10KJB24","D10LJZ07",
218,"CPER_009",20140528,40,1,1,"Lichen",0.50,,,,,,,"D10KJB24","D10LJZ07","percent cover trace"
219,"CPER_009",20140528,40,1,1,"Moss",0.00,,,,,,,"D10KJB24","D10LJZ07",
220,"CPER_009",20140528,40,1,1,"Other non-vascular",0.00,,,,,,,"D10KJB24","D10LJZ07",
221,"CPER_009",20140528,40,1,1,"Scat",0.00,,,,,,,"D10KJB24","D10LJZ07",
222,"CPER_009",20140528,40,1,1,"Overstory",0.00,,,,,,,"D10KJB24","D10LJZ07",
223,"CPER_009",20140528,40,1,1,,,"CAN-D","3118",,,,,"D10KJB24","D10LJZ07",
224,"CPER_009",20140528,40,1,1,,,,,"BOGR2",,25.00,6,"D10KJB24","D10LJZ07",
225,"CPER_009",20140528,40,1,1,,,,,"PSTE5",,1.00,8,"D10KJB24","D10LJZ07",
226,"CPER_009",20140528,40,1,1,,,,,"ARFR4",,6.00,6,"D10KJB24","D10LJZ07",
227,"CPER_009",20140528,40,1,1,,,,,"VUOC",,3.00,11,"D10KJB24","D10LJZ07",
228,"CPER_009",20140528,40,1,1,,,,,"PASM",,0.50,18,"D10KJB24","D10LJZ07","percent cover trace"
229,"CPER_009",20140528,40,1,1,,,,,"CADU6",,2.00,13,"D10KJB24","D10LJZ07",
230,"CPER_009",20140528,40,1,1,,,,,"BODA2",,15.00,3,"D10KJB24","D10LJZ07",
231,"CPER_009",20140528,40,1,1,,,,,"OPPO",,0.50,4,"D10KJB24","D10LJZ07","percent cover trace"
232,"CPER_009",20140528,40,1,1,,,,,"SPCO",,0.50,2,"D10KJB24","D10LJZ07","percent cover trace"
233,"CPER_009",20140528,40,3,1,"Soil",63.00,,,,,,,"D10KJB24","D10LJZ07",
234,"CPER_009",20140528,40,3,1,"Rock",0.50,,,,,,,"D10KJB24","D10LJZ07","percent cover trace"
235,"CPER_009",20140528,40,3,1,"Wood",0.50,,,,,,,"D10KJB24","D10LJZ07","percent cover trace"
236,"CPER_009",20140528,40,3,1,"Standing Dead",10.00,,,,,,,"D10KJB24","D10LJZ07",
237,"CPER_009",20140528,40,3,1,"Water",0.00,,,,,,,"D10KJB24","D10LJZ07",
238,"CPER_009",20140528,40,3,1,"Lichen",0.00,,,,,,,"D10KJB24","D10LJZ07",
239,"CPER_009",20140528,40,3,1,"Moss",0.00,,,,,,,"D10KJB24","D10LJZ07",
240,"CPER_009",20140528,40,3,1,"Other non-vascular",0.00,,,,,,,"D10KJB24","D10LJZ07",
241,"CPER_009",20140528,40,3,1,"Scat",0.00,,,,,,,"D10KJB24","D10LJZ07",
242,"CPER_009",20140528,40,3,1,"Overstory",0.00,,,,,,,"D10KJB24","D10LJZ07",
243,"CPER_009",20140528,40,3,1,,,"CAN-D","3122",,,,,"D10KJB24","D10LJZ07",
244,"CPER_009",20140528,40,3,1,,,,,"THFI",,15.00,17,"D10KJB24","D10LJZ07",
245,"CPER_009",20140528,40,3,1,,,,,"VUOC",,1.00,12,"D10KJB24","D10LJZ07",
246,"CPER_009",20140528,40,3,1,,,,,"BOGR2",,2.00,8,"D10KJB24","D10LJZ07",
247,"CPER_009",20140528,40,3,1,,,,,"PASM",,2.00,26,"D10KJB24","D10LJZ07",
248,"CPER_009",20140528,40,3,1,,,,,"OPPO",,3.00,8,"D10KJB24","D10LJZ07",
249,"CPER_009",20140528,40,3,1,,,,,"SPCO",,0.50,6,"D10KJB24","D10LJZ07","percent cover trace"
250,"CPER_009",20140528,40,3,1,,,,,"PLPA2",,0.50,5,"D10KJB24","D10LJZ07","percent cover trace"
251,"CPER_009",20140528,40,3,1,,,,,"LEMO4",,0.50,7,"D10KJB24","D10LJZ07","percent cover trace"
252,"CPER_009",20140528,40,3,1,,,,,"CRMI5",,0.50,3,"D10KJB24","D10LJZ07","percent cover trace"
253,"CPER_009",20140528,40,3,1,,,,,"CADU6","cf. species",1.00,11,"D10KJB24","D10LJZ07",
254,"CPER_009",20140528,41,1,1,"Soil",55.00,,,,,,,"D10DPB11","D10JEB28",
255,"CPER_009",20140528,41,1,1,"Rock",18.00,,,,,,,"D10DPB11","D10JEB28",
256,"CPER_009",20140528,41,1,1,"Wood",0.00,,,,,,,"D10DPB11","D10JEB28",
257,"CPER_009",20140528,41,1,1,"Litter",1.00,,,,,,,"D10DPB11","D10JEB28",
258,"CPER_009",20140528,41,1,1,"Standing Dead",5.00,,,,,,,"D10DPB11","D10JEB28",
