"uid","plotID","subplotID","nestedSubplotID","nestedSubplotArea","variablesOther","percentCoverOther","cameraID","photoID","taxonID","identificationQualifier","percentCoverPlantSpecies","meanHeightPlantSpecies","measuredBy","recordedBy","remarks"
71,"HARV_010",31,4,1,,,,,"CAREX",,1.00,10,"D01KAK22","D01GMV31",
72,"HARV_010",31,4,1,,,,,"MIRE",,0.50,7,"D01KAK22","D01GMV31",
73,"HARV_010",31,4,1,,,,,"TRBO2",,1.00,7,"D01KAK22","D01GMV31",
74,"HARV_010",31,1,1,,,"VEG PHONE","1410",,,,,"D01KAK22","D01GMV31",
75,"HARV_010",31,1,1,"Wood",1.00,,,,,,,"D01KAK22","D01GMV31",
76,"HARV_010",31,1,1,"Litter",98.00,,,,,,,"D01KAK22","D01GMV31","QC: No error EME"
77,"HARV_010",31,1,1,"Moss",1.00,,,,,,,"D01KAK22","D01GMV31",
78,"HARV_010",31,1,1,"Overstory",80.00,,,,,,,"D01KAK22","D01GMV31",
79,"HARV_010",31,1,1,,,,,"MACA4",,1.00,4,"D01KAK22","D01GMV31",
80,"HARV_010",31,1,1,,,,,"DEPU2",,16.00,56,"D01KAK22","D01GMV31",
81,"HARV_010",31,1,1,,,,,"TRBO2",,2.00,9,"D01KAK22","D01GMV31",
82,"HARV_010",31,1,1,,,,,"VAPA4",,2.00,12,"D01KAK22","D01GMV31",
83,"HARV_010",31,1,1,,,,,"GABA",,1.00,12,"D01KAK22","D01GMV31","QC: No error EME"
84,"HARV_010",31,1,1,,,,,"PTAQ",,25.00,57,"D01KAK22","D01GMV31",
85,"HARV_010",31,1,1,,,,,"QURU",,1.00,25,"D01KAK22","D01GMV31",
86,"HARV_010",40,1,1,,,"EXTRA 2","1333",,,,,"D01EJH18","D01JAH27",
87,"HARV_010",40,1,1,"Soil",0.50,,,,,,,"D01EJH18","D01JAH27",
88,"HARV_010",40,1,1,"Rock",60.00,,,,,,,"D01EJH18","D01JAH27",
89,"HARV_010",40,1,1,"Wood",6.00,,,,,,,"D01EJH18","D01JAH27",
90,"HARV_010",40,1,1,"Litter",35.00,,,,,,,"D01EJH18","D01JAH27",
91,"HARV_010",40,1,1,"Standing Dead",0.50,,,,,,,"D01EJH18","D01JAH27",
92,"HARV_013",40,1,1,"Soil",0.50,,,,,,,"D01LEL27","D01PJN02","QC: No Error"
93,"HARV_013",40,1,1,"Wood",6.00,,,,,,,"D01LEL27","D01PJN02",
94,"HARV_013",40,1,1,"Litter",97.00,,,,,,,"D01LEL27","D01PJN02",
95,"HARV_013",40,1,1,"Standing Dead",0.50,,,,,,,"D01LEL27","D01PJN02",
96,"HARV_013",40,1,1,"Lichen",0.50,,,,,,,"D01LEL27","D01PJN02",
97,"HARV_013",40,1,1,"Moss",0.50,,,,,,,"D01LEL27","D01PJN02",
98,"HARV_013",40,1,1,"Overstory",50.00,,,,,,,"D01LEL27","D01PJN02",
99,"HARV_013",40,1,1,,,,,"TRBO2",,2.00,12,"D01LEL27","D01PJN02",
100,"HARV_013",40,1,1,,,,,"MIRE",,3.00,8,"D01LEL27","D01PJN02",
101,"HARV_013",40,1,1,,,,,"PRSE2",,1.00,13,"D01LEL27","D01PJN02",
102,"HARV_013",40,1,1,,,,,"ACSA3",,3.00,49,"D01LEL27","D01PJN02","QC: No Error"
103,"HARV_013",40,1,1,,,,,"FRAM2",,2.00,66,"D01LEL27","D01PJN02",
104,"HARV_013",40,1,1,,,,,"MACA4",,0.50,9,"D01LEL27","D01PJN02",
105,"HARV_013",40,1,1,,,,,"PIST",,4.00,143,"D01LEL27","D01PJN02",
106,"HARV_013",40,3,1,,,"OLY","0524",,,,,"D01LEL27","D01PJN02","MEDIA NUMBER ALSO 0528"
107,"HARV_013",40,3,1,"Wood",1.00,,,,,,,"D01LEL27","D01PJN02",
108,"HARV_013",40,3,1,"Litter",98.00,,,,,,,"D01LEL27","D01PJN02",
109,"HARV_013",40,3,1,"Standing Dead",0.50,,,,,,,"D01LEL27","D01PJN02",
110,"HARV_013",40,3,1,"Lichen",0.50,,,,,,,"D01LEL27","D01PJN02",
111,"HARV_013",40,3,1,"Moss",0.50,,,,,,,"D01LEL27","D01PJN02",
112,"HARV_013",40,3,1,"Other non-vascular",0.50,,,,,,,"D01LEL27","D01PJN02","QC: No Error"
113,"HARV_013",40,3,1,"Overstory",30.00,,,,,,,"D01LEL27","D01PJN02",
114,"HARV_013",40,3,1,,,,,"TRBO2",,1.00,9,"D01LEL27","D01PJN02",
115,"HARV_013",40,3,1,,,,,"MIRE",,2.00,10,"D01LEL27","D01PJN02",
116,"HARV_013",40,3,1,,,,,"DRIN5",,0.50,12,"D01LEL27","D01PJN02",
117,"HARV_013",40,3,1,,,,,"RUHI",,2.00,15,"D01LEL27","D01PJN02",
118,"HARV_013",40,3,1,,,,,"CAREX",,0.50,20,"D01LEL27","D01PJN02",
119,"HARV_013",40,3,1,,,,,"PRSE2",,0.50,13,"D01LEL27","D01PJN02",
120,"HARV_013",40,3,1,,,,,"ACSA3",,6.00,82,"D01LEL27","D01PJN02",
121,"HARV_013",40,3,1,,,,,"ACRU",,0.50,34,"D01LEL27","D01PJN02",
122,"HARV_013",40,3,1,,,,,"PIST",,10.00,177,"D01LEL27","D01PJN02","QC: No Error"
123,"HARV_013",40,3,1,,,,,"BELE",,10.00,230,"D01LEL27","D01PJN02",
124,"HARV_013",41,1,1,,,"OLY","0536",,,,,"D01LEL27","D01PJN02",
125,"HARV_013",41,1,1,"Wood",2.00,,,,,,,"D01LEL27","D01PJN02",
126,"HARV_013",41,1,1,"Litter",98.00,,,,,,,"D01LEL27","D01PJN02",
127,"HARV_013",41,1,1,"Lichen",0.50,,,,,,,"D01LEL27","D01PJN02",
128,"HARV_013",41,1,1,"Moss",0.50,,,,,,,"D01LEL27","D01PJN02",
129,"HARV_013",41,1,1,"Other non-vascular",0.50,,,,,,,"D01LEL27","D01PJN02",
130,"HARV_013",41,1,1,"Overstory",45.00,,,,,,,"D01LEL27","D01PJN02",
131,"HARV_013",41,1,1,,,,,"PIST",,2.00,100,"D01LEL27","D01PJN02",
132,"HARV_013",41,1,1,,,,,"ACSA3",,3.00,23,"D01LEL27","D01PJN02","QC: No Error"
133,"HARV_013",41,1,1,,,,,"MACA4",,4.00,8,"D01LEL27","D01PJN02",
134,"HARV_013",41,1,1,,,,,"TRBO2",,2.00,9,"D01LEL27","D01PJN02","FDS LISTED TRBO4 BUT ASSUMED IT WAS THE COMMON TRBO2"
135,"HARV_013",41,1,1,,,,,"DEPU2",,1.00,27,"D01LEL27","D01PJN02",
136,"HARV_013",41,1,1,,,,,"MIRE",,0.50,5,"D01LEL27","D01PJN02",
137,"HARV_013",41,1,1,,,,,"PRSE2",,0.50,8,"D01LEL27","D01PJN02",
138,"HARV_013",41,4,1,,,"OLY","0537",,,,,"D01LEL27","D01PJN02",
139,"HARV_013",41,4,1,"Wood",1.00,,,,,,,"D01LEL27","D01PJN02",
140,"HARV_013",41,4,1,"Litter",99.00,,,,,,,"D01LEL27","D01PJN02",
141,"HARV_013",41,4,1,"Standing Dead",0.50,,,,,,,"D01LEL27","D01PJN02",
142,"HARV_013",41,4,1,"Lichen",0.50,,,,,,,"D01LEL27","D01PJN02","QC: No Error"
143,"HARV_013",41,4,1,"Moss",0.50,,,,,,,"D01LEL27","D01PJN02",
144,"HARV_013",41,4,1,"Overstory",40.00,,,,,,,"D01LEL27","D01PJN02",
145,"HARV_013",41,4,1,,,,,"PIST",,3.00,132,"D01LEL27","D01PJN02",
146,"HARV_013",41,4,1,,,,,"ACRU",,2.00,14,"D01LEL27","D01PJN02",
147,"HARV_013",41,4,1,,,,,"RUHI",,1.00,10,"D01LEL27","D01PJN02",
148,"HARV_013",41,4,1,,,,,"MIRE",,20.00,9,"D01LEL27","D01PJN02",
149,"HARV_013",41,4,1,,,,,"TRBO2",,1.00,8,"D01LEL27","D01PJN02","FDS LISTED TRBO4 BUT ASSUMED IT WAS THE COMMON TRBO2"
150,"HARV_013",32,2,1,,,"VEG PHONE","1241",,,,,"D01DRC25","D01EJH18",
151,"HARV_013",32,2,1,"Wood",1.00,,,,,,,"D01DRC25","D01EJH18",
152,"HARV_023",31,4,1,"Soil",0.50,,,,,,,"D01DRC25","D01GMV31","QC: No error EME"
153,"HARV_023",31,4,1,"Wood",0.50,,,,,,,"D01DRC25","D01GMV31",
154,"HARV_023",31,4,1,"Litter",98.00,,,,,,,"D01DRC25","D01GMV31",
155,"HARV_023",31,4,1,"Standing Dead",0.50,,,,,,,"D01DRC25","D01GMV31",
156,"HARV_023",31,4,1,"Lichen",0.50,,,,,,,"D01DRC25","D01GMV31",
157,"HARV_023",31,4,1,"Moss",0.50,,,,,,,"D01DRC25","D01GMV31",
158,"HARV_023",31,4,1,"Overstory",20.00,,,,,,,"D01DRC25","D01GMV31",
159,"HARV_023",31,4,1,,,,,"MACA4",,5.00,11,"D01DRC25","D01GMV31",
160,"HARV_023",31,4,1,,,,,"MIRE",,2.00,8,"D01DRC25","D01GMV31","QC: No error EE"
161,"HARV_023",31,4,1,,,,,"TRBO2",,3.00,12,"D01DRC25","D01GMV31",
162,"HARV_023",31,4,1,,,,,"PIST",,11.00,160,"D01DRC25","D01GMV31",
163,"HARV_023",31,4,1,,,,,"POSI2",,0.50,12,"D01DRC25","D01GMV31",
164,"HARV_023",31,4,1,,,,,"DEPU2",,12.00,63,"D01DRC25","D01GMV31",
165,"HARV_023",31,4,1,,,,,"QUVE",,2.00,27,"D01DRC25","D01GMV31",
166,"HARV_023",31,4,1,,,,,"PRSE2",,1.00,31,"D01DRC25","D01GMV31",
167,"HARV_023",31,4,1,,,,,"VAPA4",,0.50,23,"D01DRC25","D01GMV31",
168,"HARV_023",31,4,1,,,,,"LYOB",,0.50,13,"D01DRC25","D01GMV31",
169,"HARV_023",31,4,1,,,,,"RUAR7","cf. species",4.00,23,"D01DRC25","D01GMV31",
170,"HARV_023",31,4,1,,,,,"PYAM",,0.50,7,"D01DRC25","D01GMV31",
171,"HARV_023",31,4,1,,,,,"RUHI",,0.50,10,"D01DRC25","D01GMV31","QC: No error EME"
172,"HARV_001",41,1,1,,,"OLY","0562",,,,,"D01KMA31","D01NIH14","QC: No error EME"
173,"HARV_001",41,1,1,"Soil",0.50,,,,,,,"D01KMA31","D01NIH14",
174,"HARV_001",41,1,1,"Rock",0.50,,,,,,,"D01KMA31","D01NIH14",
175,"HARV_001",41,1,1,"Wood",0.50,,,,,,,"D01KMA31","D01NIH14",
176,"HARV_001",41,1,1,"Litter",97.00,,,,,,,"D01KMA31","D01NIH14","QC: No error EME"
177,"HARV_001",41,1,1,"Standing Dead",0.50,,,,,,,"D01KMA31","D01NIH14",
178,"HARV_001",41,1,1,"Lichen",0.50,,,,,,,"D01KMA31","D01NIH14",
179,"HARV_001",41,1,1,"Moss",2.00,,,,,,,"D01KMA31","D01NIH14",
180,"HARV_001",41,1,1,"Overstory",75.00,,,,,,,"D01KMA31","D01NIH14","QC: No error E
QC: No error EME"
181,"HARV_001",41,1,1,,,,,"ACRU",,2.00,28,"D01KMA31","D01NIH14",
182,"HARV_012",40,1,1,"Soil",0.50,,,,,,,"D01NIH14","D01PJN02","QC: No error EME"
183,"HARV_012",40,1,1,"Wood",2.00,,,,,,,"D01NIH14","D01PJN02",
184,"HARV_012",40,1,1,"Litter",98.00,,,,,,,"D01NIH14","D01PJN02",
185,"HARV_012",40,1,1,"Standing Dead",0.50,,,,,,,"D01NIH14","D01PJN02",
186,"HARV_012",40,1,1,"Lichen",0.50,,,,,,,"D01NIH14","D01PJN02",
187,"HARV_012",40,1,1,"Moss",0.50,,,,,,,"D01NIH14","D01PJN02",
188,"HARV_012",40,1,1,"Overstory",80.00,,,,,,,"D01NIH14","D01PJN02",
189,"HARV_012",40,1,1,,,,,"BELE",,50.00,102,"D01NIH14","D01PJN02",
190,"HARV_012",40,1,1,,,,,"HAVI4",,5.00,62,"D01NIH14","D01PJN02","QC: No error EME"
191,"HARV_012",40,1,1,,,,,"ACRU",,1.00,22,"D01NIH14","D01PJN02",
192,"HARV_012",40,1,1,,,,,"MACA4",,1.00,9,"D01NIH14","D01PJN02",
193,"HARV_012",40,1,1,,,,,"PIST",,0.50,50,"D01NIH14","D01PJN02",
194,"HARV_012",40,1,1,,,,,"GAPR2",,2.00,6,"D01NIH14","D01PJN02",
195,"HARV_012",40,1,1,,,,,"TRBO2",,0.50,6,"D01NIH14","D01PJN02","QC: No error EME"
196,"HARV_012",40,1,1,,,,,"CAREX",,0.50,15,"D01NIH14","D01PJN02",
197,"HARV_012",40,1,1,,,,,"GABA",,5.00,25,"D01NIH14","D01PJN02",
198,"HARV_012",40,1,1,,,,,"MEVI",,2.00,12,"D01NIH14","D01PJN02",
199,"HARV_012",40,3,1,,,"NATALIE","1119",,,,,"D01NIH14","D01PJN02",
200,"HARV_012",40,3,1,"Soil",0.50,,,,,,,"D01NIH14","D01PJN02",
201,"HARV_012",40,3,1,"Wood",1.00,,,,,,,"D01NIH14","D01PJN02",
202,"HARV_012",40,3,1,"Litter",99.00,,,,,,,"D01NIH14","D01PJN02",
203,"HARV_012",40,3,1,"Standing Dead",0.50,,,,,,,"D01NIH14","D01PJN02",
204,"HARV_012",40,3,1,"Lichen",0.50,,,,,,,"D01NIH14","D01PJN02",
205,"HARV_012",40,3,1,"Overstory",80.00,,,,,,,"D01NIH14","D01PJN02","QC: No error EME"
206,"HARV_012",40,3,1,,,,,"VAPA4",,30.00,38,"D01NIH14","D01PJN02",
207,"HARV_012",40,3,1,,,,,"GABA",,25.00,42,"D01NIH14","D01PJN02",
208,"HARV_012",40,3,1,,,,,"GAPR2",,1.00,6,"D01NIH14","D01PJN02",
209,"HARV_012",40,3,1,,,,,"CAREX",,0.50,15,"D01NIH14","D01PJN02",
210,"HARV_012",40,3,1,,,,,"MACA4",,0.50,4,"D01NIH14","D01PJN02",
211,"HARV_012",40,3,1,,,,,"TRBO2",,1.00,8,"D01NIH14","D01PJN02",
212,"HARV_012",40,3,1,,,,,"QUVE",,0.50,7,"D01NIH14","D01PJN02",
213,"BART_024",32,2,1,"Soil",0.50,,,,,,,"D01BAC30","D01CAB21",
214,"BART_024",32,2,1,"Wood",20.00,,,,,,,"D01BAC30","D01CAB21",
215,"BART_024",32,2,1,"Litter",,,,,,,,"D01BAC30","D01CAB21","NOT RECORDED"
216,"BART_024",32,2,1,"Moss",1.00,,,,,,,"D01BAC30","D01CAB21",
217,"BART_024",32,2,1,"Overstory",50.00,,,,,,,"D01BAC30","D01CAB21","QC: No Error"
218,"BART_024",32,2,1,,,,,"PIRU",,0.50,9,"D01BAC30","D01CAB21",
219,"BART_024",32,2,1,,,,,"TSCA",,0.50,6,"D01BAC30","D01CAB21",
220,"BART_024",32,2,1,,,,,"ACRU",,0.50,6,"D01BAC30","D01CAB21",
221,"BART_024",32,2,1,,,,,"FAGR",,1.00,11,"D01BAC30","D01CAB21","QC: No Error"
222,"BART_024",32,4,1,,,"PHONE 7","0914",,,,,"D01BAC30","D01CAB21",
223,"BART_024",32,4,1,"Wood",25.00,,,,,,,"D01BAC30","D01CAB21",
224,"BART_024",32,4,1,"Litter",72.00,,,,,,,"D01BAC30","D01CAB21",
225,"BART_024",32,4,1,"Standing Dead",0.50,,,,,,,"D01BAC30","D01CAB21","QC: No Error"
226,"BART_024",32,4,1,"Lichen",0.50,,,,,,,"D01BAC30","D01CAB21",
227,"BART_024",32,4,1,"Moss",2.00,,,,,,,"D01BAC30","D01CAB21",
228,"BART_024",32,4,1,"Overstory",100.00,,,,,,,"D01BAC30","D01CAB21",
229,"BART_024",32,4,1,,,,,"PIRU",,1.00,11,"D01BAC30","D01CAB21",
230,"BART_024",32,4,1,,,,,"TSCA",,0.50,7,"D01BAC30","D01CAB21","QC: No Error"
231,"BART_024",40,1,1,,,"PHONE 7","1008",,,,,"D01CAB21","D01BAC30",
232,"BART_024",40,1,1,"Soil",0.50,,,,,,,"D01CAB21","D01BAC30",
233,"BART_024",40,1,1,"Rock",1.00,,,,,,,"D01CAB21","D01BAC30","QC: No Error"
234,"BART_024",40,1,1,"Wood",3.00,,,,,,,"D01CAB21","D01BAC30",
235,"BART_024",40,1,1,"Litter",,,,,,,,"D01CAB21","D01BAC30","NOT RECORDED"
236,"BART_024",40,1,1,"Lichen",0.50,,,,,,,"D01CAB21","D01BAC30",
237,"BART_024",40,1,1,"Moss",4.00,,,,,,,"D01CAB21","D01BAC30","QC: No Error"
238,"BART_024",40,1,1,"Overstory",85.00,,,,,,,"D01CAB21","D01BAC30",
239,"BART_024",40,1,1,,,,,"FAGR",,0.50,18,"D01CAB21","D01BAC30",
240,"BART_024",40,1,1,,,,,"TSCA",,0.50,2,"D01CAB21","D01BAC30",
241,"BART_024",40,1,1,,,,,"PIRU",,0.50,2,"D01CAB21","D01BAC30",
242,"BART_024",40,3,1,,,"PHONE 7","1102",,,,,"D01CAB21","D01BAC30",
243,"HARV_027",32,4,1,"Overstory",100.00,,,,,,,"D01CEG10","D01GMV31",
244,"HARV_027",32,4,1,,,,,"ONSE",,20.00,40,"D01CEG10","D01GMV31",
245,"HARV_027",32,4,1,,,,,"TORA2",,2.00,35,"D01CEG10","D01GMV31",
246,"HARV_027",32,4,1,,,,,"RUHI",,5.00,18,"D01CEG10","D01GMV31",
247,"HARV_027",32,4,1,,,,,"ARTR",,4.00,18,"D01CEG10","D01GMV31",
248,"HARV_027",32,4,1,,,,,"MIRE",,1.00,5,"D01CEG10","D01GMV31",
249,"HARV_027",32,4,1,,,,,"PYAM",,3.00,8,"D01CEG10","D01GMV31",
250,"HARV_027",32,4,1,,,,,"CAREX",,0.50,5,"D01CEG10","D01GMV31",
251,"HARV_027",32,4,1,,,,,"FRNI",,0.50,14,"D01CEG10","D01GMV31",
252,"HARV_027",40,1,1,,,"OLY","0470",,,,,"D01LEL27","D01DRC25",
253,"HARV_027",40,1,1,"Wood",0.50,,,,,,,"D01LEL27","D01DRC25","QC: NO ERROR JH"
254,"HARV_027",40,1,1,"Litter",60.00,,,,,,,"D01LEL27","D01DRC25",
255,"HARV_027",40,1,1,"Water",1.00,,,,,,,"D01LEL27","D01DRC25",
256,"HARV_027",40,1,1,"Lichen",0.50,,,,,,,"D01LEL27","D01DRC25",
257,"HARV_027",40,1,1,"Moss",33.00,,,,,,,"D01LEL27","D01DRC25",
258,"HARV_027",40,1,1,"Other non-vascular",0.50,,,,,,,"D01LEL27","D01DRC25",
259,"HARV_027",40,1,1,"Overstory",80.00,,,,,,,"D01LEL27","D01DRC25",
260,"HARV_027",40,1,1,,,,,"ACRU",,,22,"D01LEL27","D01DRC25",
261,"HARV_027",40,1,1,,,,,"RUPU",,0.50,26,"D01LEL27","D01DRC25",
262,"HARV_027",40,1,1,,,,,"IMCA",,3.00,16,"D01LEL27","D01DRC25",
263,"HARV_027",40,3,1,,,,,"SYMPH",,0.50,34,"D01LEL27","D01DRC25",
264,"HARV_027",40,1,1,,,,,"VICU",,,,"D01LEL27","D01DRC25",
265,"HARV_027",40,3,1,,,,,,,0.50,22,"D01LEL27","D01DRC25","""NARROW SCRUFFY GRASS"" QC: NO ERROR JH"
266,"HARV_027",40,3,1,,,,,"CLVI5",,3.00,17,"D01LEL27","D01DRC25",
267,"HARV_027",40,3,1,,,,,"MACA4",,0.50,6,"D01LEL27","D01DRC25",
268,"HARV_027",40,3,1,,,,,"THNO",,0.50,16,"D01LEL27","D01DRC25",
269,"HARV_027",41,1,1,,,"OLY","0495",,,,,"D01LEL27","D01GMV31",
270,"HARV_027",41,1,1,"Soil",3.00,,,,,,,"D01LEL27","D01GMV31",
271,"HARV_027",41,1,1,"Rock",3.00,,,,,,,"D01LEL27","D01GMV31",
272,"HARV_027",41,1,1,"Wood",6.00,,,,,,,"D01LEL27","D01GMV31",
273,"HARV_027",41,1,1,"Litter",76.00,,,,,,,"D01LEL27","D01GMV31",
274,"HARV_059",40,3,1,"Wood",8.00,,,,,,,"D01DRC25","D01GMV31",
275,"HARV_059",40,3,1,"Litter",88.00,,,,,,,"D01DRC25","D01GMV31",
276,"HARV_059",40,3,1,"Standing Dead",1.00,,,,,,,"D01DRC25","D01GMV31",
277,"HARV_059",40,3,1,"Lichen",0.50,,,,,,,"D01DRC25","D01GMV31",
278,"HARV_059",40,3,1,"Moss",3.00,,,,,,,"D01DRC25","D01GMV31",
279,"HARV_059",40,3,1,"Overstory",95.00,,,,,,,"D01DRC25","D01GMV31",
280,"HARV_059",40,3,1,,,,,"TRBO2",,4.00,19,"D01DRC25","D01GMV31","QC: NO ERROR SNI"
281,"HARV_059",40,3,1,,,,,"QURU",,3.00,25,"D01DRC25","D01GMV31",
