"uid","plotID","subplotID","nestedSubplotID","nestedSubplotArea","taxonID","identificationQualifier","measuredBy","recordedBy","remarks"
28,"TALL_005",40,3,10,"IPPU2","AG","D08KMH18","D08CJS21",
29,"TALL_005",31,1,10,"LITU",,"D08TQH04","D08TDW18",
30,"TALL_005",31,1,10,"AEPA",,"D08TQH04","D08TDW18",
31,"TALL_005",31,1,10,"ACRU",,"D08TQH04","D08TDW18","No transcription errors found"
32,"TALL_005",31,1,10,"OXAR",,"D08TQH04","D08TDW18",
33,"TALL_005",31,1,10,"Quercus spp.","CS","D08TQH04","D08TDW18",
34,"TALL_005",31,1,10,"VAAR",,"D08TQH04","D08TDW18",
35,"TALL_005",31,1,10,"PITA",,"D08TQH04","D08TDW18","No transcription errors found"
36,"TALL_005",31,1,10,"SCMO6","CS","D08TQH04","D08TDW18",
37,"TALL_005",31,1,10,"PAQU2",,"D08TQH04","D08TDW18",
38,"TALL_005",31,1,10,"Lespedeza spp.","CG","D08TQH04","D08TDW18",
39,"TALL_005",31,1,10,"Convolulacae spp.","CF","D08TQH04","D08TDW18",
40,"TALL_005",31,1,10,"Rosaceae spp.","CF","D08TQH04","D08TDW18",
41,"TALL_005",31,1,10,"tapering fuzzy leaf","UNK","D08TQH04","D08TDW18","No transcription errors found"
42,"TALL_005",31,1,10,"ground dogwood","UNK","D08TQH04","D08TDW18",
43,"TALL_005",31,1,10,"SMTA2",,"D08TQH04","D08TDW18",
44,"TALL_005",31,4,10,"ACRU",,"D08TQH04","D08TDW18",
45,"TALL_005",31,4,10,"PIEC2",,"D08TQH04","D08TDW18","code transcribed incorrectly"
46,"TALL_005",31,4,10,"TRUR2",,"D08TQH04","D08TDW18",
47,"TALL_005",31,4,10,"RUCA4",,"D08TQH04","D08TDW18",
48,"TALL_005",31,4,10,"AEPA",,"D08TQH04","D08TDW18",
49,"TALL_005",31,4,10,"AURU",,"D08TQH04","D08TDW18",
50,"TALL_005",31,4,10,"clasping fuzzy arrow","UNK","D08TQH04","D08TDW18",
51,"TALL_005",31,4,10,"spikey ball","UNK","D08TQH04","D08TDW18","No transcription errors found"
52,"TALL_005",31,4,10,"ARSE3","AF","D08TQH04","D08TDW18",
53,"TALL_005",41,1,10,"Pinus spp.","CS","D08KMH18","D08CJS21",
54,"TALL_005",41,1,10,"LIST2",,"D08KMH18","D08CJS21",
55,"TALL_005",41,1,10,"RHCO",,"D08KMH18","D08CJS21","No transcription errors found"
56,"TALL_005",41,1,10,"VIRO2",,"D08KMH18","D08CJS21",
57,"TALL_005",41,1,10,"PAQU2",,"D08KMH18","D08CJS21",
58,"TALL_005",41,1,10,"EUCO10",,"D08KMH18","D08CJS21",
59,"TALL_005",41,1,10,"GACI2","CS","D08KMH18","D08CJS21",
60,"TALL_005",41,1,10,"grass longifolia","UNK","D08KMH18","D08CJS21",
61,"TALL_005",41,1,10,"Aristolochia spp.","AG","D08KMH18","D08CJS21","No transcription errors found"
62,"TALL_005",41,1,10,"SMLA",,"D08KMH18","D08CJS21",
63,"TALL_005",41,1,10,"121 Alternate Vine","UNK","D08KMH18","D08CJS21","Line omitted during transcription"
64,"TALL_005",41,4,10,"CATO6",,"D08KMH18","D08CJS21",
65,"TALL_005",41,4,10,"RUCA4",,"D08KMH18","D08CJS21","No transcription errors found"
66,"TALL_005",41,4,10,"RUHI","CS","D08KMH18","D08CJS21",
67,"TALL_005",41,4,10,"Pinus spp.","CS","D08KMH18","D08CJS21",
68,"TALL_005",41,4,10,"EUCO10",,"D08KMH18","D08CJS21",
69,"TALL_005",41,4,10,"QUMA3","CS","D08KMH18","D08CJS21",
70,"TALL_005",41,4,10,"big leaf arrow","UNK","D08KMH18","D08CJS21",
71,"TALL_005",41,4,10,"alternate standing linear leaf","UNK","D08KMH18","D08CJS21","No transcription errors found"
72,"TALL_005",41,4,10,"Stipeae spp.","CS","D08KMH18","D08CJS21",
73,"TALL_005",32,2,10,"CNURS",,"D08KMH18","D08CJS21",
74,"TALL_005",32,2,10,"DIBO2",,"D08KMH18","D08CJS21",
75,"TALL_005",32,2,10,"DIAC",,"D08KMH18","D08CJS21","No transcription errors found"
76,"TALL_005",32,2,10,"Pinus spp.","CS","D08KMH18","D08CJS21",
77,"TALL_005",32,2,10,"LERE2",,"D08KMH18","D08CJS21",
78,"TALL_005",32,2,10,"SCTR",,"D08KMH18","D08CJS21",
79,"TALL_005",32,2,10,"DISAT","CS","D08KMH18","D08CJS21",
80,"TALL_005",32,2,10,"PIAS2","CS","D08KMH18","D08CJS21",
81,"TALL_005",32,2,10,"QUMA3",,"D08KMH18","D08CJS21","No transcription errors found"
82,"TALL_005",32,2,10,"QULY","CS","D08KMH18","D08CJS21",
83,"TALL_005",32,2,10,"SCEL",,"D08KMH18","D08CJS21",
84,"TALL_005",32,2,10,"LITU",,"D08KMH18","D08CJS21",
85,"TALL_005",32,2,10,"RUCA4",,"D08KMH18","D08CJS21","No transcription errors found"
86,"TALL_005",32,2,10,"OSVI",,"D08KMH18","D08CJS21",
87,"TALL_005",32,2,10,"DEST2","AS","D08KMH18","D08CJS21",
88,"TALL_005",32,2,10,"flat grass","UNK","D08KMH18","D08CJS21",
89,"TALL_005",32,4,10,"SCTR",,"D08KMH18","D08CJS21",
90,"TALL_005",32,4,10,"CNURS",,"D08KMH18","D08CJS21",
91,"TALL_005",32,4,10,"RHGL",,"D08KMH18","D08CJS21","No transcription errors found"
92,"TALL_005",32,4,10,"VIRO2",,"D08KMH18","D08CJS21",
93,"TALL_005",32,4,10,"PIPA12",,"D08KMH18","D08CJS21",
94,"TALL_005",32,4,10,"Dioscorea spp.","CS","D08KMH18","D08CJS21",
95,"TALL_005",32,4,10,"TORA2",,"D08KMH18","D08CJS21","No transcription errors found"
96,"TALL_005",32,4,10,"PAQU2",,"D08KMH18","D08CJS21",
97,"TALL_005",32,4,10,"QUMA3",,"D08KMH18","D08CJS21",
98,"TALL_005",32,4,10,"QUMO4","AS","D08KMH18","D08CJS21",
99,"TALL_005",32,4,10,"QUST","AS","D08KMH18","D08CJS21",
100,"TALL_005",32,4,10,"CADE12","CS","D08KMH18","D08CJS21","No transcription errors found"
