"uid","plotID","subplotID","taxonID","identificationQualifier","measuredBy","recordedBy","remarks"
157,"CPER_002","32","MILI3",,"D10DPB11","D10JMO28",
158,"CPER_002","32","OTHER","UNKOWN","D10DPB11","D10JMO28","""Blue Pin Cushion"" photo#3225,3226"
159,"CPER_002","32","ELEL5",,"D10DPB11","D10JMO28",
160,"CPER_002","32","MAPI",,"D10DPB11","D10JMO28",
161,"CPER_002","40","EVNU",,"D10KJB24","D10SJH12",
162,"CPER_002","40","PEAL2",,"D10KJB24","D10SJH12",
163,"CPER_008","31","LEMO4",,"D10KJB24","D10SJH12",
164,"CPER_008","31","TRDU","cf. species","D10KJB24","D10SJH12",
165,"CPER_008","40","MATA2",,"D10KJB24","D10SJH12",
166,"CPER_008","40","PIOP",,"D10KJB24","D10SJH12",
167,"CPER_008","40","PSTE5",,"D10KJB24","D10SJH12",
168,"CPER_008","40","BRTE",,"D10KJB24","D10SJH12",
169,"CPER_008","40","ARPU9",,"D10KJB24","D10SJH12",
170,"CPER_008","40","ARFR4",,"D10KJB24","D10SJH12",
171,"CPER_008","32","PSTE5",,"D10DPB11","D10STS05",
172,"CPER_008","32","LIRI",,"D10DPB11","D10STS05",
173,"CPER_008","32","TRDU",,"D10DPB11","D10STS05",
174,"CPER_008","32","Alt Lobey Leaf","UNK","D10DPB11","D10STS05","photo #3218"
175,"CPER_008","32","CRMI5",,"D10DPB11","D10STS05",
176,"CPER_008","41","OEAL",,"D10DPB11","D10JMO28",
177,"CPER_008","41","ELEL5",,"D10DPB11","D10JMO28",
178,"CPER_008","41","ARFR4",,"D10DPB11","D10JMO28",
179,"CPER_008","41","SPCO",,"D10DPB11","D10JMO28",
180,"CPER_008","41","GUSA2",,"D10DPB11","D10JMO28",
181,"CPER_008","41","AGCR",,"D10DPB11","D10JMO28",
182,"CPER_008","41","Emergent-C","UNK","D10DPB11","D10JMO28",
183,"CPER_008","41","MUTO2",,"D10DPB11","D10JMO28",
184,"CPER_008","41","VIAM",,"D10DPB11","D10JMO28",
